raw_record_id,source_db,doc_id_canonical,dedup_reason
2-s2.0-85028533318,,FI_000556,kept
2-s2.0-84984905552,,FI_000557,kept
2-s2.0-85031403415,,FI_000558,kept
2-s2.0-85053726669,,FI_000559,kept
2-s2.0-85066147710,,FI_000560,kept
2-s2.0-85078460515,,FI_000561,kept
2-s2.0-85088476281,,FI_000562,kept
2-s2.0-85089048348,,FI_000563,kept
2-s2.0-85088468860,,FI_000564,kept
2-s2.0-105006862291,,FI_000565,kept
2-s2.0-85150151354,,FI_000566,kept
2-s2.0-85090255424,,FI_000567,kept
2-s2.0-85090253901,,FI_000568,kept
2-s2.0-85093852213,,FI_000569,kept
2-s2.0-85111259098,,FI_000570,kept
2-s2.0-85106053236,,FI_000571,kept
2-s2.0-85150583297,,FI_000572,kept
2-s2.0-85163564917,,FI_000573,kept
2-s2.0-85135041957,,FI_000574,kept
2-s2.0-85163552749,,FI_000575,kept
2-s2.0-85163552619,,FI_000576,kept
2-s2.0-85146500394,,FI_000577,kept
2-s2.0-85163534702,,FI_000578,kept
2-s2.0-85120789325,,FI_000579,kept
2-s2.0-85163437793,,FI_000580,kept
2-s2.0-85161814653,,FI_000581,kept
2-s2.0-85161929095,,FI_000582,kept
2-s2.0-85161944760,,FI_000583,kept
2-s2.0-85161880737,,FI_000584,kept
2-s2.0-85161841359,,FI_000585,kept
2-s2.0-85120541126,,FI_000586,kept
2-s2.0-85116213265,,FI_000587,kept
2-s2.0-85166091866,,FI_000588,kept
2-s2.0-85123319116,,FI_000589,kept
2-s2.0-85160469368,,FI_000590,kept
2-s2.0-85126201619,,FI_000591,kept
2-s2.0-85156196121,,FI_000592,kept
2-s2.0-85130302287,,FI_000593,kept
2-s2.0-105001534346,,FI_000594,kept
2-s2.0-85133542468,,FI_000595,kept
2-s2.0-85139072808,,FI_000596,kept
2-s2.0-85158981238,,FI_000597,kept
2-s2.0-85149690994,,FI_000598,kept
2-s2.0-105026828549,,FI_000599,kept
2-s2.0-105024484072,,FI_000600,kept
2-s2.0-105021313791,,FI_000601,kept
2-s2.0-105002033864,,FI_000602,kept
2-s2.0-105000612769,,FI_000603,kept
2-s2.0-105003521808,,FI_000604,kept
2-s2.0-105004956228,,FI_000605,kept
2-s2.0-105009040093,,FI_000606,kept
2-s2.0-105008644131,,FI_000607,kept
2-s2.0-105006903111,,FI_000608,kept
2-s2.0-105003851005,,FI_000609,kept
2-s2.0-105023337698,,FI_000610,kept
2-s2.0-105023354975,,FI_000611,kept
2-s2.0-105023352390,,FI_000612,kept
2-s2.0-105023352281,,FI_000613,kept
2-s2.0-105023337998,,FI_000614,kept
2-s2.0-105022680982,,FI_000615,kept
2-s2.0-105022672973,,FI_000616,kept
2-s2.0-105022673375,,FI_000617,kept
2-s2.0-105022679352,,FI_000618,kept
2-s2.0-105002401311,,FI_000619,kept
2-s2.0-105009400477,,FI_000620,kept
2-s2.0-105023362541,,FI_000621,kept
2-s2.0-105023347955,,FI_000622,kept
2-s2.0-105023337527,,FI_000623,kept
2-s2.0-105023343396,,FI_000624,kept
2-s2.0-105023348984,,FI_000625,kept
2-s2.0-105023350021,,FI_000626,kept
2-s2.0-105023342626,,FI_000627,kept
2-s2.0-105023344960,,FI_000628,kept
2-s2.0-105023349926,,FI_000629,kept
2-s2.0-105015664494,,FI_000630,kept
2-s2.0-105006904788,,FI_000631,kept
2-s2.0-105013267774,,FI_000632,kept
