node,publications,degree
"Fashoto, S.G.",2,2
"Metfula, A.S.",2,2
"Akinnuwesi, A.N.",1,0
"Wild, R.",1,0
"Egaru, M.",1,0
"Ellis-Jones, M.",1,0
"Bugembe, B.N.",1,0
"Mohamed, A.",1,0
"Ngigi, O.",1,0
"Ogwok, G.",1,0
"Roberts, J.",1,0
"Kutegeka, S.",1,0
"El Amri, M.C.",1,0
"Mohammad, M.O.",2,0
"Bakr, A.M.",1,0
Tahiri-Jouti,1,0
A.T.,1,0
"Ashfaq, M.",3,0
"Zada, N.",1,0
Gupta,2,0
L.,41,2
"Hoang, M.-D.",1,0
"Le, L.",1,0
"Nguyen, A.-T.",1,0
"Le, T.",3,0
"Nguyen, H.D.",1,0
Coppi,1,0
Mori,1,0
"Islam, M.",1,0
"Ahmed, K.J.",1,0
"Haq, S.M.A.",1,0
"Islam, M.N.",1,0
Blazquez,1,0
A.K.P.,1,0
Ezenwa-Onuaku,1,0
C.,27,1
"Kunz, R.",5,2
"Maisenbacher, J.",3,2
"Mc, M.C.",1,0
"Shanmugam, K.",2,0
"Fosso Wamba, S.",1,0
"Queiroz, M.M.",3,3
"Gupta, S.",19,4
"Sahu, G.P.",2,1
"Chowdhry, B.",1,0
"Goyal, A.",1,0
"Ahmed, S.A.",2,0
"Feyen, E.",1,0
"Frost, J.",6,3
"Natarajan, H.",4,1
"Rice, T.",1,0
"Ascarya, X.",1,0
"Suharto, U.",1,0
Disparte,1,0
D.A.,2,0
"Saksonova, S.",1,0
"Papiashvili, T.",2,0
"Maouloud, V.",2,2
"Kassim, S.",15,7
"Othman, A.H.A.",6,3
"Podkolzina, I.M.",1,0
"Belousov, A.I.",1,0
"Uzdenova, F.M.",1,0
"Romanko, L.V.",1,0
"Chernikova, O.A.",1,0
"Han, J.",4,1
"Ma, Y.",7,0
"Liu, J.",12,0
"Liu, P.",1,0
"Ou, Z.",2,0
"Zhang, G.",1,0
"Song, M.",4,0
"Herrera Román, J.S.",1,0
"Branch-Bedoya, J.W.",1,0
"Arango-Serna, M.D.",1,0
"Lapina, E.N.",1,0
"Orazaliev, A.A.",1,0
"Kalnaya, A.Y.",1,0
"Kiseleva, I.N.",1,0
"Oseledko, I.V.",1,0
"Ansorena, A.",1,0
"Diniz, E.H.",6,2
"Siqueira, E.S.",1,0
"Pozzebon, M.",7,3
Korovin,1,0
"Saraç, M.",1,0
"Ertemel, A.V.",1,0
"Çaylak, G.",1,0
"Aam, S.",1,0
"Khatoon, A.",1,0
"Mutamimah, M.",3,0
"Sueztianingrum, R.Y.",1,0
Protschka,1,0
F.,20,3
"Roa, L.",2,1
"Rodríguez-Rey, A.",1,0
"Correa-Bahnsen, A.",2,1
