source,target,weight
"Kunz, R.","Paudel, L.N.",3
"Maisenbacher, J.","Paudel, L.N.",2
"Queiroz, M.M.","Blome, C.",2
"Queiroz, M.M.","Sivarajah, U.",2
"Gupta, S.","Sahu, G.P.",2
"Gupta, S.","Jaiswal, R.",2
"Gupta, S.","Shukla, D.",2
"Frost, J.","Natarajan, H.",2
"Frost, J.","Gambacorta, L.",2
"Frost, J.","Shreeti, V.",2
"Maouloud, V.","Kassim, S.",2
"Maouloud, V.","Othman, A.H.A.",2
"Kassim, S.","Othman, A.H.A.",4
"Kassim, S.","Redzuan, N.",2
"Kassim, S.","Rosman, R.",2
"Kassim, S.","Muhammad Zuki, M.F.",2
"Kassim, S.","Shaharuddin, S.S.",2
"Kassim, S.","Muhammad, N.M.",2
"Othman, A.H.A.","Abdullahi, A.",2
"Han, J.","Ko, D.",2
"Diniz, E.H.","Pozzebon, M.",3
"Diniz, E.H.","Cernev, A.K.",2
"Pozzebon, M.","Diniz, E.",2
"Pozzebon, M.","Birochi, R.",2
F.,Nkouaga,2
F.,Nyonzo,2
F.,Shihadeh,2
"Roa, L.","Correa-Bahnsen, A.",2
"Gupta, R.","Kukreja, G.",2
"Abutaber, T.A.","Al-Okaily, M.",2
"Al-Okaily, M.","Alkhwaldi, A.F.",2
"Al-Okaily, M.","Al-Okaily, A.",2
"Kumar, J.","Ahuja, A.",2
"Kumar, J.","Parvathy, V.K.",2
"Khan, S.","Rabbani, M.R.",2
Ozili,P.K.,30
"Chitimira, H.","Torerai, E.",3
"Redzuan, N.","Rosman, R.",2
"Redzuan, N.","Muhammad Zuki, M.F.",2
"Redzuan, N.","Shaharuddin, S.S.",2
"Rosman, R.","Muhammad Zuki, M.F.",2
"Rosman, R.","Shaharuddin, S.S.",3
"Muhammad Zuki, M.F.","Shaharuddin, S.S.",2
Sebele-Mpofu,F.Y.,5
"Warsame, M.H.","Abdalla, Y.A.",2
"Naveed, M.","Ali, S.",2
"Tchakounté, F.","Atemkeng, M.",2
"Adarsh, R.","Sivasubramanian, K.",2
"Nguyen, N.P.","Mogaji, E.",4
"Nguyen, N.P.","Soetan, T.O.",2
"Mogaji, E.","Soetan, T.O.",3
"Abdullah, A.","Salleh, M.Z.M.",2
"De Waal, H.","Nyawa, S.",2
"Shrestha, D.","Poudel, K.",2
"Shrestha, D.","Adhikari, R.",2
"Shrestha, D.","Rajkarnikar, N.",2
Akeju,K.F.,2
N.,Nenavath,2
N.,Ndung'U,2
N.,Kshetri,4
N.,Bernards,2
